Episode 1: Total Reward = 1858.0 | x_pos = 1943 | completed: False
Episode 150: Total Reward = 2770.0 | x_pos = 1416 | completed: False
Episode 151: Total Reward = 2039.0 | x_pos = 1401 | completed: False
Episode 152: Total Reward = 1431.0 | x_pos = 864 | completed: False
Episode 153: Total Reward = 2049.0 | x_pos = 898 | completed: False
Episode 154: Total Reward = 2043.0 | x_pos = 2019 | completed: False
Episode 155: Total Reward = 1371.0 | x_pos = 1428 | completed: False
Episode 156: Total Reward = 1580.0 | x_pos = 311 | completed: False
Episode 157: Total Reward = 1998.0 | x_pos = 1669 | completed: False
Episode 158: Total Reward = 1349.0 | x_pos = 696 | completed: False
Episode 159: Total Reward = 1855.0 | x_pos = 300 | completed: False
Episode 160: Total Reward = 2310.0 | x_pos = 1125 | completed: False
Episode 161: Total Reward = 2072.0 | x_pos = 688 | completed: False
Episode 162: Total Reward = 2321.0 | x_pos = 1155 | completed: False
Episode 163: Total Reward = 1544.0 | x_pos = 697 | completed: False
Episode 164: Total Reward = 2199.0 | x_pos = 1413 | completed: False
Episode 165: Total Reward = 1589.0 | x_pos = 312 | completed: False
Episode 166: Total Reward = 1436.0 | x_pos = 309 | completed: False
Episode 167: Total Reward = 2135.0 | x_pos = 1232 | completed: False
Episode 168: Total Reward = 3236.0 | x_pos = 2469 | completed: False
Episode 169: Total Reward = 1592.0 | x_pos = 296 | completed: False
Episode 170: Total Reward = 653.0 | x_pos = 298 | completed: False
Episode 171: Total Reward = 1721.0 | x_pos = 1130 | completed: False
Episode 172: Total Reward = 1892.0 | x_pos = 677 | completed: False
Episode 173: Total Reward = 1387.0 | x_pos = 652 | completed: False
Episode 174: Total Reward = 1447.0 | x_pos = 1425 | completed: False
Episode 175: Total Reward = 2278.0 | x_pos = 858 | completed: False
Episode 176: Total Reward = 2364.0 | x_pos = 1420 | completed: False
Episode 177: Total Reward = 1982.0 | x_pos = 1125 | completed: False
Episode 178: Total Reward = 1912.0 | x_pos = 1140 | completed: False
Episode 179: Total Reward = 1366.0 | x_pos = 1137 | completed: False
Episode 180: Total Reward = 1424.0 | x_pos = 311 | completed: False
Episode 181: Total Reward = 3263.0 | x_pos = 2758 | completed: False
Episode 182: Total Reward = 2103.0 | x_pos = 679 | completed: False
Episode 183: Total Reward = 2341.0 | x_pos = 696 | completed: False
Episode 184: Total Reward = 1775.0 | x_pos = 304 | completed: False
Episode 185: Total Reward = 1700.0 | x_pos = 819 | completed: False
Episode 186: Total Reward = 1728.0 | x_pos = 709 | completed: False
Episode 187: Total Reward = 1367.0 | x_pos = 823 | completed: False
Episode 188: Total Reward = 1510.0 | x_pos = 301 | completed: False
Episode 189: Total Reward = 2045.0 | x_pos = 1425 | completed: False
Episode 190: Total Reward = 721.0 | x_pos = 314 | completed: False
Episode 191: Total Reward = 1607.0 | x_pos = 898 | completed: False
Episode 192: Total Reward = 1491.0 | x_pos = 711 | completed: False
Episode 193: Total Reward = 2452.0 | x_pos = 1674 | completed: False
Episode 194: Total Reward = 2360.0 | x_pos = 1414 | completed: False
Episode 195: Total Reward = 1589.0 | x_pos = 1674 | completed: False
Episode 196: Total Reward = 2490.0 | x_pos = 708 | completed: False
Episode 197: Total Reward = 1776.0 | x_pos = 667 | completed: False
Episode 198: Total Reward = 1901.0 | x_pos = 306 | completed: False
Episode 199: Total Reward = 2179.0 | x_pos = 1415 | completed: False
Episode 200: Total Reward = 2956.0 | x_pos = 1516 | completed: False
Episode 201: Total Reward = 1882.0 | x_pos = 1222 | completed: False
Episode 202: Total Reward = 1280.0 | x_pos = 822 | completed: False
Episode 203: Total Reward = 1462.0 | x_pos = 793 | completed: False
Episode 204: Total Reward = 1057.0 | x_pos = 295 | completed: False
Episode 205: Total Reward = 651.0 | x_pos = 248 | completed: False
Episode 206: Total Reward = 2320.0 | x_pos = 1492 | completed: False
Episode 207: Total Reward = 2239.0 | x_pos = 861 | completed: False
Episode 208: Total Reward = 1627.0 | x_pos = 1150 | completed: False
Episode 209: Total Reward = 1024.0 | x_pos = 312 | completed: False
Episode 210: Total Reward = 2374.0 | x_pos = 1787 | completed: False
Episode 211: Total Reward = 2405.0 | x_pos = 1411 | completed: False
Episode 212: Total Reward = 1176.0 | x_pos = 286 | completed: False
Episode 213: Total Reward = 1079.0 | x_pos = 310 | completed: False
Episode 214: Total Reward = 1804.0 | x_pos = 1131 | completed: False
Episode 215: Total Reward = 2226.0 | x_pos = 1126 | completed: False
Episode 216: Total Reward = 1523.0 | x_pos = 659 | completed: False
Episode 217: Total Reward = 1975.0 | x_pos = 1431 | completed: False
Episode 218: Total Reward = 2572.0 | x_pos = 1410 | completed: False
Episode 219: Total Reward = 3439.0 | x_pos = 1125 | completed: False
Episode 220: Total Reward = 1494.0 | x_pos = 310 | completed: False
Episode 221: Total Reward = 2090.0 | x_pos = 1411 | completed: False
Episode 222: Total Reward = 1792.0 | x_pos = 805 | completed: False
Episode 223: Total Reward = 1563.0 | x_pos = 300 | completed: False
Episode 224: Total Reward = 693.0 | x_pos = 300 | completed: False
Episode 225: Total Reward = 626.0 | x_pos = 296 | completed: False
Episode 226: Total Reward = 2526.0 | x_pos = 1125 | completed: False
Episode 227: Total Reward = 2388.0 | x_pos = 685 | completed: False
Episode 228: Total Reward = 997.0 | x_pos = 834 | completed: False
Episode 229: Total Reward = 2230.0 | x_pos = 1443 | completed: False
Episode 230: Total Reward = 2317.0 | x_pos = 1118 | completed: False
Episode 231: Total Reward = 2591.0 | x_pos = 1124 | completed: False
Episode 232: Total Reward = 1968.0 | x_pos = 1123 | completed: False
Episode 233: Total Reward = 2142.0 | x_pos = 651 | completed: False
Episode 234: Total Reward = 978.0 | x_pos = 314 | completed: False
Episode 235: Total Reward = 3868.0 | x_pos = 1405 | completed: False
Episode 236: Total Reward = 1083.0 | x_pos = 684 | completed: False
Episode 237: Total Reward = 731.0 | x_pos = 313 | completed: False
Episode 238: Total Reward = 3162.0 | x_pos = 1522 | completed: False
Episode 239: Total Reward = 1426.0 | x_pos = 1410 | completed: False
Episode 240: Total Reward = 2235.0 | x_pos = 854 | completed: False
Episode 241: Total Reward = 2780.0 | x_pos = 1121 | completed: False
Episode 242: Total Reward = 1895.0 | x_pos = 787 | completed: False
Episode 243: Total Reward = 2329.0 | x_pos = 1128 | completed: False
Episode 244: Total Reward = 2614.0 | x_pos = 1794 | completed: False
Episode 245: Total Reward = 2429.0 | x_pos = 1246 | completed: False
Episode 246: Total Reward = 2169.0 | x_pos = 898 | completed: False
Episode 247: Total Reward = 2745.0 | x_pos = 1410 | completed: False
Episode 248: Total Reward = 2365.0 | x_pos = 684 | completed: False
Episode 249: Total Reward = 675.0 | x_pos = 315 | completed: False
Episode 250: Total Reward = 1933.0 | x_pos = 722 | completed: False
Episode 251: Total Reward = 1281.0 | x_pos = 1126 | completed: False
Episode 252: Total Reward = 2450.0 | x_pos = 1124 | completed: False
Episode 253: Total Reward = 2136.0 | x_pos = 810 | completed: False
Episode 254: Total Reward = 1588.0 | x_pos = 1418 | completed: False
Episode 255: Total Reward = 1087.0 | x_pos = 293 | completed: False
Episode 256: Total Reward = 2657.0 | x_pos = 1135 | completed: False
Episode 257: Total Reward = 3176.0 | x_pos = 1947 | completed: False
Episode 258: Total Reward = 2112.0 | x_pos = 687 | completed: False
Episode 259: Total Reward = 1472.0 | x_pos = 853 | completed: False
Episode 260: Total Reward = 1592.0 | x_pos = 815 | completed: False
Episode 261: Total Reward = 1825.0 | x_pos = 848 | completed: False
Episode 262: Total Reward = 1169.0 | x_pos = 308 | completed: False
Episode 263: Total Reward = 2552.0 | x_pos = 1125 | completed: False
Episode 264: Total Reward = 1914.0 | x_pos = 1433 | completed: False
Episode 265: Total Reward = 1837.0 | x_pos = 666 | completed: False
Episode 266: Total Reward = 2343.0 | x_pos = 1409 | completed: False
Episode 267: Total Reward = 2442.0 | x_pos = 1435 | completed: False
Episode 268: Total Reward = 1521.0 | x_pos = 898 | completed: False
Episode 269: Total Reward = 1765.0 | x_pos = 686 | completed: False
Episode 270: Total Reward = 2063.0 | x_pos = 698 | completed: False
Episode 271: Total Reward = 1596.0 | x_pos = 1520 | completed: False
Episode 272: Total Reward = 1110.0 | x_pos = 308 | completed: False
Episode 273: Total Reward = 2768.0 | x_pos = 1425 | completed: False
Episode 274: Total Reward = 1663.0 | x_pos = 681 | completed: False
Episode 275: Total Reward = 1165.0 | x_pos = 301 | completed: False
Episode 276: Total Reward = 1025.0 | x_pos = 306 | completed: False
Episode 277: Total Reward = 3093.0 | x_pos = 3161 | completed: True
Episode 278: Total Reward = 2388.0 | x_pos = 830 | completed: False
Episode 279: Total Reward = 2583.0 | x_pos = 1435 | completed: False
Episode 280: Total Reward = 1989.0 | x_pos = 806 | completed: False
Episode 281: Total Reward = 1021.0 | x_pos = 256 | completed: False
Episode 282: Total Reward = 2392.0 | x_pos = 1653 | completed: False
Episode 283: Total Reward = 2179.0 | x_pos = 1407 | completed: False
Episode 284: Total Reward = 1834.0 | x_pos = 1124 | completed: False
Episode 285: Total Reward = 1386.0 | x_pos = 696 | completed: False
Episode 286: Total Reward = 2855.0 | x_pos = 1425 | completed: False
Episode 287: Total Reward = 1434.0 | x_pos = 239 | completed: False
Episode 288: Total Reward = 1425.0 | x_pos = 1115 | completed: False
Episode 289: Total Reward = 701.0 | x_pos = 302 | completed: False
Episode 290: Total Reward = 2843.0 | x_pos = 1123 | completed: False
Episode 291: Total Reward = 2545.0 | x_pos = 826 | completed: False
Episode 292: Total Reward = 1327.0 | x_pos = 305 | completed: False
Episode 293: Total Reward = 1997.0 | x_pos = 797 | completed: False
Episode 294: Total Reward = 1984.0 | x_pos = 898 | completed: False
Episode 295: Total Reward = 1488.0 | x_pos = 1430 | completed: False
Episode 296: Total Reward = 2687.0 | x_pos = 1435 | completed: False
Episode 297: Total Reward = 1497.0 | x_pos = 303 | completed: False
Episode 298: Total Reward = 2218.0 | x_pos = 301 | completed: False
Episode 299: Total Reward = 2748.0 | x_pos = 1246 | completed: False
Episode 300: Total Reward = 1314.0 | x_pos = 1432 | completed: False
Episode 301: Total Reward = 1574.0 | x_pos = 297 | completed: False
Episode 302: Total Reward = 939.0 | x_pos = 308 | completed: False
Episode 303: Total Reward = 2582.0 | x_pos = 708 | completed: False
Episode 304: Total Reward = 1170.0 | x_pos = 295 | completed: False
Episode 305: Total Reward = 1722.0 | x_pos = 1239 | completed: False
Episode 306: Total Reward = 1586.0 | x_pos = 300 | completed: False
Episode 307: Total Reward = 1735.0 | x_pos = 694 | completed: False
Episode 308: Total Reward = 982.0 | x_pos = 297 | completed: False
Episode 309: Total Reward = 2404.0 | x_pos = 1796 | completed: False
Episode 310: Total Reward = 2467.0 | x_pos = 1424 | completed: False
Episode 311: Total Reward = 1561.0 | x_pos = 1507 | completed: False
Episode 312: Total Reward = 2141.0 | x_pos = 1229 | completed: False
Episode 313: Total Reward = 1694.0 | x_pos = 827 | completed: False
Episode 314: Total Reward = 2073.0 | x_pos = 1427 | completed: False
Episode 315: Total Reward = 1455.0 | x_pos = 1508 | completed: False
Episode 316: Total Reward = 2278.0 | x_pos = 1513 | completed: False
Episode 317: Total Reward = 1873.0 | x_pos = 679 | completed: False
Episode 318: Total Reward = 1659.0 | x_pos = 1129 | completed: False
Episode 319: Total Reward = 1589.0 | x_pos = 898 | completed: False
Episode 320: Total Reward = 1900.0 | x_pos = 722 | completed: False
Episode 321: Total Reward = 1484.0 | x_pos = 311 | completed: False
Episode 322: Total Reward = 2347.0 | x_pos = 861 | completed: False
Episode 323: Total Reward = 1761.0 | x_pos = 806 | completed: False
Episode 324: Total Reward = 1243.0 | x_pos = 1392 | completed: False
Episode 325: Total Reward = 691.0 | x_pos = 279 | completed: False
Episode 326: Total Reward = 2260.0 | x_pos = 1521 | completed: False
Episode 327: Total Reward = 2312.0 | x_pos = 1226 | completed: False
Episode 328: Total Reward = 2604.0 | x_pos = 1152 | completed: False
Episode 329: Total Reward = 1284.0 | x_pos = 1395 | completed: False
Episode 330: Total Reward = 2206.0 | x_pos = 296 | completed: False
Episode 331: Total Reward = 603.0 | x_pos = 275 | completed: False
Episode 332: Total Reward = 3513.0 | x_pos = 3161 | completed: True
Episode 333: Total Reward = 2453.0 | x_pos = 1137 | completed: False
Episode 334: Total Reward = 1368.0 | x_pos = 1412 | completed: False
Episode 335: Total Reward = 2686.0 | x_pos = 1410 | completed: False
Episode 336: Total Reward = 1660.0 | x_pos = 311 | completed: False
Episode 337: Total Reward = 1516.0 | x_pos = 704 | completed: False
Episode 338: Total Reward = 1800.0 | x_pos = 673 | completed: False
Episode 339: Total Reward = 1573.0 | x_pos = 1410 | completed: False
Episode 340: Total Reward = 1656.0 | x_pos = 1410 | completed: False
Episode 341: Total Reward = 1916.0 | x_pos = 312 | completed: False
Episode 342: Total Reward = 1373.0 | x_pos = 722 | completed: False
Episode 343: Total Reward = 1865.0 | x_pos = 1229 | completed: False
Episode 344: Total Reward = 1068.0 | x_pos = 806 | completed: False
Episode 345: Total Reward = 1966.0 | x_pos = 1412 | completed: False
Episode 346: Total Reward = 1651.0 | x_pos = 1516 | completed: False
Episode 347: Total Reward = 3750.0 | x_pos = 3161 | completed: True
Episode 348: Total Reward = 2770.0 | x_pos = 804 | completed: False
Episode 349: Total Reward = 3654.0 | x_pos = 898 | completed: False
Episode 350: Total Reward = 2767.0 | x_pos = 1126 | completed: False
Episode 351: Total Reward = 1375.0 | x_pos = 303 | completed: False
Episode 352: Total Reward = 1365.0 | x_pos = 298 | completed: False
Episode 353: Total Reward = 2065.0 | x_pos = 1405 | completed: False
Episode 354: Total Reward = 1750.0 | x_pos = 316 | completed: False
Episode 355: Total Reward = 2328.0 | x_pos = 898 | completed: False
Episode 356: Total Reward = 1757.0 | x_pos = 1125 | completed: False
Episode 357: Total Reward = 2459.0 | x_pos = 679 | completed: False
Episode 358: Total Reward = 1926.0 | x_pos = 722 | completed: False
Episode 359: Total Reward = 931.0 | x_pos = 306 | completed: False
Episode 360: Total Reward = 1993.0 | x_pos = 1411 | completed: False
Episode 361: Total Reward = 1618.0 | x_pos = 683 | completed: False
Episode 362: Total Reward = 1750.0 | x_pos = 296 | completed: False
Episode 363: Total Reward = 1809.0 | x_pos = 1412 | completed: False
Episode 364: Total Reward = 1373.0 | x_pos = 1410 | completed: False
Episode 365: Total Reward = 1871.0 | x_pos = 1521 | completed: False
Episode 366: Total Reward = 1672.0 | x_pos = 1438 | completed: False
Episode 367: Total Reward = 2743.0 | x_pos = 2015 | completed: False
Episode 368: Total Reward = 1408.0 | x_pos = 294 | completed: False
Episode 369: Total Reward = 2591.0 | x_pos = 898 | completed: False
Episode 370: Total Reward = 2525.0 | x_pos = 1127 | completed: False
Episode 371: Total Reward = 2493.0 | x_pos = 1410 | completed: False
Episode 372: Total Reward = 2322.0 | x_pos = 1432 | completed: False
Episode 373: Total Reward = 1385.0 | x_pos = 1436 | completed: False
Episode 374: Total Reward = 1694.0 | x_pos = 1657 | completed: False
Episode 375: Total Reward = 1436.0 | x_pos = 696 | completed: False
Episode 376: Total Reward = 2511.0 | x_pos = 1128 | completed: False
Episode 377: Total Reward = 2382.0 | x_pos = 1123 | completed: False
Episode 378: Total Reward = 1529.0 | x_pos = 313 | completed: False
Episode 379: Total Reward = 3098.0 | x_pos = 3161 | completed: True
Episode 380: Total Reward = 2096.0 | x_pos = 1402 | completed: False
Episode 381: Total Reward = 1668.0 | x_pos = 1504 | completed: False
Episode 382: Total Reward = 1453.0 | x_pos = 1436 | completed: False
